text,label,word_count
order id  10718 shipping details  ship name  königlich essen ship address  maubelstr. 90 ship city  brandenburg ship region  western europe ship postal code  14776 ship country  germany customer details  customer id  koene customer name  königlich essen employee details  employee name  nancy davolio shipper details  shipper id  3 shipper name  federal shipping order details  order date  2017-10-27 shipped date  2017-10-29 products  -------------------------------------------------------------------------------------------------- product  queso manchego la pastora quantity  36 unit price  38 0 total  1368 0 -------------------------------------------------------------------------------------------------- product  pavlova quantity  20 unit price  17 45 total  349 0 -------------------------------------------------------------------------------------------------- product  inlagd sill quantity  40 unit price  19 0 total  760 0 -------------------------------------------------------------------------------------------------- product  tarte au sucre quantity  20 unit price  49 3 total  986 0 total price  total price  3463 0,ShippingOrder,120
invoice order id  10707 customer id  arout order date  2017-10-16 customer details  contact name  thomas hardy address  120 hanover sq. city  london postal code  wa1 1dp country  uk phone   171  555-7788 fax   171  555-6750 product details  product id product name quantity unit price 55 pâté chinois 21 24 0 57 ravioli angelo 40 19 5 70 outback lager 28 15 0 totalprice 1704 0 page 1,invoice,66
order id  10448 shipping details  ship name  rancho grande ship address  av. del libertador 900 ship city  buenos aires ship region  south america ship postal code  1010 ship country  argentina customer details  customer id  ranch customer name  rancho grande employee details  employee name  margaret peacock shipper details  shipper id  2 shipper name  united package order details  order date  2017-02-17 shipped date  2017-02-24 products  -------------------------------------------------------------------------------------------------- product  gumbär gummibärchen quantity  6 unit price  24 9 total  149 39999999999998 -------------------------------------------------------------------------------------------------- product  boston crab meat quantity  20 unit price  14 7 total  294 0 total price  total price  443 4,ShippingOrder,96
"invoice order id  11068 customer id  queen order date  2018-05-04 customer details  contact name  lúcia carvalho address  alameda dos canàrios, 891 city  sao paulo postal code  05487-020 country  brazil phone   11  555-1189 fax  none product details  product id product name quantity unit price 28 rössle sauerkraut 8 45 6 43 ipoh coffee 36 46 0 77 original frankfurter grüne soße 28 13 0 totalprice 2384 8 page 1",invoice,68
order id  10656 shipping details  ship name  great lakes food market ship address  2732 baker blvd. ship city  eugene ship region  north america ship postal code  97403 ship country  usa customer details  customer id  greal customer name  great lakes food market employee details  employee name  michael suyama shipper details  shipper id  1 shipper name  speedy express order details  order date  2017-09-04 shipped date  2017-09-10 products  -------------------------------------------------------------------------------------------------- product  tofu quantity  3 unit price  23 25 total  69 75 -------------------------------------------------------------------------------------------------- product  gula malacca quantity  28 unit price  19 45 total  544 6 -------------------------------------------------------------------------------------------------- product  zaanse koeken quantity  6 unit price  9 5 total  57 0 total price  total price  671 35,ShippingOrder,109
purchase orders order id order date customer name 10892 2018-02-17 catherine dewey products product id  product  quantity  unit price  59 raclette courdavault 40 55 page 1,purchase Order,26
invoice order id  10561 customer id  folko order date  2017-06-06 customer details  contact name  maria larsson address  åkergatan 24 city  bräcke postal code  s-844 67 country  sweden phone  0695-34 67 21 fax  none product details  product id product name quantity unit price 44 gula malacca 10 19 45 51 manjimup dried apples 50 53 0 totalprice 2844 5 page 1,invoice,60
purchase orders order id order date customer name 10680 2017-09-24 rene phillips products product id  product  quantity  unit price  16 pavlova 50 17 45 31 gorgonzola telino 20 12 5 42 singaporean hokkien fried mee 40 14 page 1,purchase Order,39
order id  10345 shipping details  ship name  quick-stop ship address  taucherstraße 10 ship city  cunewalde ship region  western europe ship postal code  1307 ship country  germany customer details  customer id  quick customer name  quick-stop employee details  employee name  andrew fuller shipper details  shipper id  2 shipper name  united package order details  order date  2016-11-04 shipped date  2016-11-11 products  -------------------------------------------------------------------------------------------------- product  northwoods cranberry sauce quantity  70 unit price  32 0 total  2240 0 -------------------------------------------------------------------------------------------------- product  teatime chocolate biscuits quantity  80 unit price  7 3 total  584 0 -------------------------------------------------------------------------------------------------- product  singaporean hokkien fried mee quantity  9 unit price  11 2 total  100 8 total price  total price  2924 8,ShippingOrder,107
purchase orders order id order date customer name 10446 2017-02-14 karin josephs products product id  product  quantity  unit price  19 teatime chocolate biscuits 12 7 3 24 guaraná fantástica 20 3 6 31 gorgonzola telino 3 10 52 filo mix 15 5 6 page 1,purchase Order,45
